G,element_length,p,f_int[0],f_int[1],f_ext[0],kte[00],kte[01],kte[11]
99126.3081143363,1,35.0,7.00000000000002e+02,-4.7475468957064356e+02,1400.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,35.0,4.7475468957064425e+02,-2.4240259795473833e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,35.0,2.4240259795473972e+02,-2.645408566050567e-13,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
99126.3081143363,1,52.5,1.400000000000003e+03,-9.495093791412871e+02,2100.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,52.5,9.495093791412866e+02,-4.8480519590947574e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,52.5,4.848051959094784e+02,-7.804306875283722e-13,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
99126.3081143363,1,70,2.1000000000000036e+03,-1.4242640687119313e+03,2800.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,70,1.4242640687119265e+03,-7.272077938642112e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,70,7.272077938642183e+02,-2.6453151038574694e-12,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
99126.3081143363,1,70,2.799999999999997e+03,-1.8990187582825658e+03,2800.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,70,1.8990187582825745e+03,-9.696103918189546e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,70,9.696103918189538e+02,3.5750587547554964e-13,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
99126.3081143363,1,70,2.7999999999999986e+03,-1.89901875828257e+03,2800.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,70,1.8990187582825658e+03,-9.696103918189467e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,70,9.696103918189572e+02,-5.104423395605309e-12,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
99126.3081143363,1,70,2.799999999999998e+03,-1.8990187582825697e+03,2800.0,1372410.3677392704,-1440152.5283648851,1568153.3903640884
99126.3081143363,2,70,1.8990187582825763e+03,-9.69610391818958e+02,0.0,1200983.6434680938,-1264648.2571007311,1396726.6660929113
99126.3081143363,3,70,9.696103918189507e+02,1.997385026834371e-12,0.0,1080134.9508276274,-1140179.690194365,1275877.9734524451
